IMG-20230212-WA0000.jpg, Time: 0.02s, Before: 0.3838481903076172 MB, After: 0.37245655059814453 MB, Compression: 2.97%
IMG-20230213-WA0000.jpg, Time: 0.02s, Before: 0.38828372955322266 MB, After: 0.375823974609375 MB, Compression: 3.21%
IMG-20230213-WA0006.jpg, Time: 0.03s, Before: 0.34859371185302734 MB, After: 0.3399639129638672 MB, Compression: 2.48%
IMG-20230213-WA0007.jpg, Time: 0.02s, Before: 0.42510318756103516 MB, After: 0.3973960876464844 MB, Compression: 6.52%
IMG-20230213-WA0008.jpg, Time: 0.03s, Before: 0.3984546661376953 MB, After: 0.3984546661376953 MB, Compression: 0.00%
IMG-20230213-WA0011.jpg, Time: 0.01s, Before: 0.42422962188720703 MB, After: 0.39705657958984375 MB, Compression: 6.41%
IMG-20230213-WA0012.jpg, Time: 0.03s, Before: 0.3540172576904297 MB, After: 0.3433513641357422 MB, Compression: 3.01%
IMG-20230213-WA0014.jpg, Time: 0.01s, Before: 0.3930625915527344 MB, After: 0.3813457489013672 MB, Compression: 2.98%
IMG-20230213-WA0016.jpg, Time: 0.05s, Before: 0.5411052703857422 MB, After: 0.5037097930908203 MB, Compression: 6.91%
IMG-20230213-WA0017.jpg, Time: 0.03s, Before: 0.4581308364868164 MB, After: 0.4196004867553711 MB, Compression: 8.41%
IMG-20230213-WA0018.jpg, Time: 0.03s, Before: 0.5251188278198242 MB, After: 0.4884653091430664 MB, Compression: 6.98%
IMG-20230213-WA0020.jpg, Time: 0.03s, Before: 0.33682823181152344 MB, After: 0.33559703826904297 MB, Compression: 0.37%
IMG-20230213-WA0021.jpg, Time: 0.03s, Before: 0.34087085723876953 MB, After: 0.34087085723876953 MB, Compression: 0.00%
IMG-20230213-WA0022.jpg, Time: 0.01s, Before: 0.40725135803222656 MB, After: 0.38251209259033203 MB, Compression: 6.07%
IMG-20230213-WA0023.jpg, Time: 0.03s, Before: 0.3908224105834961 MB, After: 0.37851715087890625 MB, Compression: 3.15%
IMG-20230213-WA0024.jpg, Time: 0.02s, Before: 0.26422119140625 MB, After: 0.26422119140625 MB, Compression: 0.00%
IMG-20230213-WA0025.jpg, Time: 0.03s, Before: 0.3800363540649414 MB, After: 0.37151145935058594 MB, Compression: 2.24%
IMG-20230213-WA0057.jpg, Time: 0.03s, Before: 0.23819255828857422 MB, After: 0.23819255828857422 MB, Compression: 0.00%
IMG-20230213-WA0058.jpg, Time: 0.02s, Before: 0.25380897521972656 MB, After: 0.25380897521972656 MB, Compression: 0.00%
IMG-20230213-WA0059.jpg, Time: 0.02s, Before: 0.24203968048095703 MB, After: 0.24203968048095703 MB, Compression: 0.00%
IMG-20230213-WA0060.jpg, Time: 0.03s, Before: 0.3698244094848633 MB, After: 0.3698244094848633 MB, Compression: 0.00%
IMG-20230213-WA0063.jpg, Time: 0.02s, Before: 0.2617015838623047 MB, After: 0.2617015838623047 MB, Compression: 0.00%
IMG-20230213-WA0064.jpg, Time: 0.03s, Before: 0.3640594482421875 MB, After: 0.3596048355102539 MB, Compression: 1.22%
IMG-20230213-WA0065.jpg, Time: 0.02s, Before: 0.33417606353759766 MB, After: 0.33417606353759766 MB, Compression: 0.00%
IMG-20230213-WA0066.jpg, Time: 0.02s, Before: 0.23195648193359375 MB, After: 0.23195648193359375 MB, Compression: 0.00%
IMG-20230213-WA0067.jpg, Time: 0.02s, Before: 0.32617664337158203 MB, After: 0.32617664337158203 MB, Compression: 0.00%
IMG-20230213-WA0069.jpg, Time: 0.02s, Before: 0.3282136917114258 MB, After: 0.3282136917114258 MB, Compression: 0.00%
IMG-20230213-WA0070.jpg, Time: 0.02s, Before: 0.32340526580810547 MB, After: 0.32340526580810547 MB, Compression: 0.00%
IMG-20230213-WA0071.jpg, Time: 0.02s, Before: 0.225250244140625 MB, After: 0.225250244140625 MB, Compression: 0.00%
IMG-20230213-WA0072.jpg, Time: 0.02s, Before: 0.3310089111328125 MB, After: 0.3310089111328125 MB, Compression: 0.00%
IMG-20230213-WA0073.jpg, Time: 0.03s, Before: 0.24929141998291016 MB, After: 0.24929141998291016 MB, Compression: 0.00%
IMG-20230213-WA0074.jpg, Time: 0.01s, Before: 0.2105112075805664 MB, After: 0.20745849609375 MB, Compression: 1.45%
IMG-20230213-WA0077.jpg, Time: 0.02s, Before: 0.20596790313720703 MB, After: 0.2044839859008789 MB, Compression: 0.72%
IMG-20230213-WA0078.jpg, Time: 0.01s, Before: 0.20682048797607422 MB, After: 0.20682048797607422 MB, Compression: 0.00%
IMG-20230213-WA0079.jpg, Time: 0.02s, Before: 0.35346126556396484 MB, After: 0.3497915267944336 MB, Compression: 1.04%
IMG-20230213-WA0080.jpg, Time: 0.01s, Before: 0.22784042358398438 MB, After: 0.2268514633178711 MB, Compression: 0.43%
IMG-20230213-WA0081.jpg, Time: 0.02s, Before: 0.3594675064086914 MB, After: 0.3552131652832031 MB, Compression: 1.18%
IMG-20230213-WA0086.jpg, Time: 0.02s, Before: 0.2274322509765625 MB, After: 0.2274322509765625 MB, Compression: 0.00%
IMG-20230213-WA0088.jpg, Time: 0.02s, Before: 0.22251224517822266 MB, After: 0.22251224517822266 MB, Compression: 0.00%
IMG-20230213-WA0093.jpg, Time: 0.03s, Before: 0.3240318298339844 MB, After: 0.3240318298339844 MB, Compression: 0.00%
IMG-20230213-WA0094.jpg, Time: 0.03s, Before: 0.33421897888183594 MB, After: 0.33421897888183594 MB, Compression: 0.00%
IMG-20230213-WA0097.jpg, Time: 0.02s, Before: 0.20203113555908203 MB, After: 0.20203113555908203 MB, Compression: 0.00%
IMG-20230213-WA0098.jpg, Time: 0.02s, Before: 0.26254940032958984 MB, After: 0.26254940032958984 MB, Compression: 0.00%
IMG-20230213-WA0101.jpg, Time: 0.02s, Before: 0.3016166687011719 MB, After: 0.3016166687011719 MB, Compression: 0.00%
IMG-20230213-WA0102.jpg, Time: 0.02s, Before: 0.38341426849365234 MB, After: 0.38341426849365234 MB, Compression: 0.00%
IMG-20230213-WA0103.jpg, Time: 0.03s, Before: 0.3787965774536133 MB, After: 0.3787965774536133 MB, Compression: 0.00%
IMG-20230213-WA0104.jpg, Time: 0.02s, Before: 0.24459075927734375 MB, After: 0.24082279205322266 MB, Compression: 1.54%
IMG-20230213-WA0108.jpg, Time: 0.01s, Before: 0.22427654266357422 MB, After: 0.22427654266357422 MB, Compression: 0.00%
IMG-20230213-WA0139.jpg, Time: 0.02s, Before: 0.22089195251464844 MB, After: 0.22089195251464844 MB, Compression: 0.00%
IMG-20230213-WA0143.jpg, Time: 0.01s, Before: 0.2138996124267578 MB, After: 0.2138996124267578 MB, Compression: 0.00%
IMG-20230213-WA0144.jpg, Time: 0.01s, Before: 0.1958789825439453 MB, After: 0.1958789825439453 MB, Compression: 0.00%
IMG-20230213-WA0148.jpg, Time: 0.02s, Before: 0.2643728256225586 MB, After: 0.2618722915649414 MB, Compression: 0.95%
IMG-20230213-WA0150.jpg, Time: 0.01s, Before: 0.21215152740478516 MB, After: 0.21215152740478516 MB, Compression: 0.00%
IMG-20230213-WA0152.jpg, Time: 0.02s, Before: 0.2242441177368164 MB, After: 0.2242441177368164 MB, Compression: 0.00%
IMG-20230213-WA0155.jpg, Time: 0.01s, Before: 0.21425533294677734 MB, After: 0.21415424346923828 MB, Compression: 0.05%
IMG-20230213-WA0157.jpg, Time: 0.02s, Before: 0.26055431365966797 MB, After: 0.25766754150390625 MB, Compression: 1.11%
IMG-20230213-WA0162.jpg, Time: 0.02s, Before: 0.3104362487792969 MB, After: 0.3104362487792969 MB, Compression: 0.00%
IMG-20230213-WA0163.jpg, Time: 0.02s, Before: 0.2026987075805664 MB, After: 0.2026987075805664 MB, Compression: 0.00%
IMG-20230213-WA0166.jpg, Time: 0.02s, Before: 0.204437255859375 MB, After: 0.204437255859375 MB, Compression: 0.00%
IMG-20230213-WA0168.jpg, Time: 0.02s, Before: 0.29573726654052734 MB, After: 0.29573726654052734 MB, Compression: 0.00%
IMG-20230213-WA0169.jpg, Time: 0.02s, Before: 0.2873067855834961 MB, After: 0.2873067855834961 MB, Compression: 0.00%
IMG-20230213-WA0170.jpg, Time: 0.02s, Before: 0.3039884567260742 MB, After: 0.3039884567260742 MB, Compression: 0.00%
IMG-20230213-WA0171.jpg, Time: 0.02s, Before: 0.34795284271240234 MB, After: 0.3446311950683594 MB, Compression: 0.95%
IMG-20230213-WA0172.jpg, Time: 0.02s, Before: 0.3055562973022461 MB, After: 0.3055562973022461 MB, Compression: 0.00%
IMG-20230213-WA0173.jpg, Time: 0.03s, Before: 0.38060951232910156 MB, After: 0.38060951232910156 MB, Compression: 0.00%
IMG-20230213-WA0174.jpg, Time: 0.02s, Before: 0.38578033447265625 MB, After: 0.38578033447265625 MB, Compression: 0.00%
IMG-20230213-WA0176.jpg, Time: 0.04s, Before: 0.4178915023803711 MB, After: 0.3911123275756836 MB, Compression: 6.41%
IMG-20230213-WA0177.jpg, Time: 0.02s, Before: 0.4384593963623047 MB, After: 0.40644168853759766 MB, Compression: 7.30%
IMG-20230213-WA0178.jpg, Time: 0.03s, Before: 0.4129505157470703 MB, After: 0.3907136917114258 MB, Compression: 5.38%
IMG-20230213-WA0179.jpg, Time: 0.03s, Before: 0.42769813537597656 MB, After: 0.39742088317871094 MB, Compression: 7.08%
IMG-20230213-WA0180.jpg, Time: 0.02s, Before: 0.4017171859741211 MB, After: 0.40113067626953125 MB, Compression: 0.15%
IMG-20230213-WA0181.jpg, Time: 0.02s, Before: 0.28289031982421875 MB, After: 0.28289031982421875 MB, Compression: 0.00%
IMG-20230213-WA0183.jpg, Time: 0.02s, Before: 0.19597339630126953 MB, After: 0.1934652328491211 MB, Compression: 1.28%
IMG-20230213-WA0184.jpg, Time: 0.02s, Before: 0.2700080871582031 MB, After: 0.25654125213623047 MB, Compression: 4.99%
IMG-20230213-WA0185.jpg, Time: 0.02s, Before: 0.30808162689208984 MB, After: 0.28531932830810547 MB, Compression: 7.39%
IMG-20230213-WA0186.jpg, Time: 0.02s, Before: 0.14769268035888672 MB, After: 0.14626216888427734 MB, Compression: 0.97%
IMG-20230213-WA0187.jpg, Time: 0.02s, Before: 0.30605316162109375 MB, After: 0.2837343215942383 MB, Compression: 7.29%
IMG-20230213-WA0188.jpg, Time: 0.03s, Before: 0.4254446029663086 MB, After: 0.38963890075683594 MB, Compression: 8.42%
IMG-20230213-WA0189.jpg, Time: 0.32s, Before: 0.3404684066772461 MB, After: 0.33161163330078125 MB, Compression: 2.60%
IMG-20230213-WA0190.jpg, Time: 0.02s, Before: 0.4101238250732422 MB, After: 0.40807247161865234 MB, Compression: 0.50%
IMG-20230213-WA0191.jpg, Time: 0.03s, Before: 0.3466367721557617 MB, After: 0.3244590759277344 MB, Compression: 6.40%
IMG-20230213-WA0192.jpg, Time: 0.03s, Before: 0.46239471435546875 MB, After: 0.4472475051879883 MB, Compression: 3.28%
IMG-20230213-WA0193.jpg, Time: 0.02s, Before: 0.3113861083984375 MB, After: 0.3113861083984375 MB, Compression: 0.00%
IMG-20230213-WA0194.jpg, Time: 0.03s, Before: 0.48418426513671875 MB, After: 0.4605569839477539 MB, Compression: 4.88%
IMG-20230213-WA0195.jpg, Time: 0.02s, Before: 0.43173694610595703 MB, After: 0.3978433609008789 MB, Compression: 7.85%
IMG-20230213-WA0196.jpg, Time: 0.04s, Before: 0.41597747802734375 MB, After: 0.3869171142578125 MB, Compression: 6.99%
IMG-20230213-WA0197.jpg, Time: 0.02s, Before: 0.36655139923095703 MB, After: 0.3288545608520508 MB, Compression: 10.28%
IMG-20230213-WA0198.jpg, Time: 0.02s, Before: 0.27725791931152344 MB, After: 0.24337387084960938 MB, Compression: 12.22%
IMG-20230213-WA0199.jpg, Time: 0.02s, Before: 0.3054018020629883 MB, After: 0.2736644744873047 MB, Compression: 10.39%
IMG-20230213-WA0200.jpg, Time: 0.03s, Before: 0.3233976364135742 MB, After: 0.300140380859375 MB, Compression: 7.19%
IMG-20230213-WA0201.jpg, Time: 0.02s, Before: 0.27921485900878906 MB, After: 0.2568702697753906 MB, Compression: 8.00%
IMG-20230213-WA0202.jpg, Time: 0.04s, Before: 0.4171581268310547 MB, After: 0.4038677215576172 MB, Compression: 3.19%
IMG-20230213-WA0203.jpg, Time: 0.02s, Before: 0.2155933380126953 MB, After: 0.2155933380126953 MB, Compression: 0.00%
IMG-20230213-WA0204.jpg, Time: 0.04s, Before: 0.4759798049926758 MB, After: 0.45667171478271484 MB, Compression: 4.06%
IMG-20230213-WA0211.jpg, Time: 0.02s, Before: 0.2526121139526367 MB, After: 0.23827648162841797 MB, Compression: 5.67%
IMG-20230213-WA0212.jpg, Time: 0.02s, Before: 0.2200326919555664 MB, After: 0.2061910629272461 MB, Compression: 6.29%
IMG-20230213-WA0213.jpg, Time: 0.02s, Before: 0.23645591735839844 MB, After: 0.22141551971435547 MB, Compression: 6.36%
IMG-20230213-WA0215.jpg, Time: 0.04s, Before: 0.41275978088378906 MB, After: 0.36901092529296875 MB, Compression: 10.60%
IMG-20230213-WA0216.jpg, Time: 0.02s, Before: 0.4428091049194336 MB, After: 0.4055633544921875 MB, Compression: 8.41%
IMG-20230213-WA0217.jpg, Time: 0.01s, Before: 0.11860370635986328 MB, After: 0.11710929870605469 MB, Compression: 1.26%
IMG-20230213-WA0218.jpg, Time: 0.02s, Before: 0.2226276397705078 MB, After: 0.2226276397705078 MB, Compression: 0.00%
IMG-20230213-WA0219.jpg, Time: 0.03s, Before: 0.3352785110473633 MB, After: 0.32347679138183594 MB, Compression: 3.52%
IMG-20230213-WA0220.jpg, Time: 0.03s, Before: 0.4158515930175781 MB, After: 0.40108299255371094 MB, Compression: 3.55%
IMG-20230213-WA0221.jpg, Time: 0.04s, Before: 0.3087797164916992 MB, After: 0.30022335052490234 MB, Compression: 2.77%
IMG-20230213-WA0222.jpg, Time: 0.03s, Before: 0.4131441116333008 MB, After: 0.4131441116333008 MB, Compression: 0.00%
IMG-20230213-WA0223.jpg, Time: 0.02s, Before: 0.4873828887939453 MB, After: 0.4873828887939453 MB, Compression: 0.00%
IMG-20230213-WA0224.jpg, Time: 0.03s, Before: 0.2535848617553711 MB, After: 0.2535848617553711 MB, Compression: 0.00%
IMG-20230213-WA0225.jpg, Time: 0.03s, Before: 0.43737316131591797 MB, After: 0.42246055603027344 MB, Compression: 3.41%
IMG-20230213-WA0226.jpg, Time: 0.01s, Before: 0.2228384017944336 MB, After: 0.21616363525390625 MB, Compression: 3.00%
IMG-20230213-WA0228.jpg, Time: 0.03s, Before: 0.3023948669433594 MB, After: 0.28951072692871094 MB, Compression: 4.26%
IMG-20230213-WA0231.jpg, Time: 0.02s, Before: 0.093292236328125 MB, After: 0.093292236328125 MB, Compression: 0.00%
IMG-20230213-WA0234.jpg, Time: 0.03s, Before: 0.24764347076416016 MB, After: 0.2303476333618164 MB, Compression: 6.98%
IMG-20230213-WA0237.jpg, Time: 0.06s, Before: 0.061806678771972656 MB, After: 0.061806678771972656 MB, Compression: 0.00%
IMG-20230213-WA0242.jpg, Time: 0.01s, Before: 0.2102947235107422 MB, After: 0.18667984008789062 MB, Compression: 11.23%
IMG-20230213-WA0243.jpg, Time: 0.02s, Before: 0.2501850128173828 MB, After: 0.23903846740722656 MB, Compression: 4.46%
IMG-20230213-WA0247.jpg, Time: 0.02s, Before: 0.23240184783935547 MB, After: 0.21504688262939453 MB, Compression: 7.47%
IMG-20230213-WA0248.jpg, Time: 0.03s, Before: 0.2524595260620117 MB, After: 0.23536109924316406 MB, Compression: 6.77%
IMG-20230213-WA0250.jpg, Time: 0.02s, Before: 0.2310953140258789 MB, After: 0.21384239196777344 MB, Compression: 7.47%
IMG-20230213-WA0255.jpg, Time: 0.01s, Before: 0.20194149017333984 MB, After: 0.20194149017333984 MB, Compression: 0.00%
IMG-20230213-WA0256.jpg, Time: 0.03s, Before: 0.2206888198852539 MB, After: 0.2206888198852539 MB, Compression: 0.00%
IMG-20230213-WA0257.jpg, Time: 0.02s, Before: 0.4256572723388672 MB, After: 0.4256572723388672 MB, Compression: 0.00%
IMG-20230213-WA0259.jpg, Time: 0.03s, Before: 0.37552547454833984 MB, After: 0.3532752990722656 MB, Compression: 5.93%
IMG-20230213-WA0260.jpg, Time: 0.05s, Before: 0.4180917739868164 MB, After: 0.3870086669921875 MB, Compression: 7.43%
IMG-20230213-WA0261.jpg, Time: 0.03s, Before: 0.4121074676513672 MB, After: 0.3802213668823242 MB, Compression: 7.74%
IMG-20230213-WA0263.jpg, Time: 0.03s, Before: 0.3091888427734375 MB, After: 0.2951936721801758 MB, Compression: 4.53%
IMG-20230213-WA0264.jpg, Time: 0.03s, Before: 0.43069934844970703 MB, After: 0.43069934844970703 MB, Compression: 0.00%
IMG-20230213-WA0265.jpg, Time: 0.03s, Before: 0.31563377380371094 MB, After: 0.3078765869140625 MB, Compression: 2.46%
IMG-20230213-WA0267.jpg, Time: 0.05s, Before: 0.4024219512939453 MB, After: 0.3798961639404297 MB, Compression: 5.60%
IMG-20230213-WA0269.jpg, Time: 0.02s, Before: 0.1410541534423828 MB, After: 0.1410541534423828 MB, Compression: 0.00%
IMG-20230213-WA0270.jpg, Time: 0.03s, Before: 0.3842954635620117 MB, After: 0.3609733581542969 MB, Compression: 6.07%
IMG-20230213-WA0271.jpg, Time: 0.02s, Before: 0.19562244415283203 MB, After: 0.19562244415283203 MB, Compression: 0.00%
IMG-20230213-WA0272.jpg, Time: 0.03s, Before: 0.44483184814453125 MB, After: 0.4258871078491211 MB, Compression: 4.26%
IMG-20230213-WA0273.jpg, Time: 0.05s, Before: 0.4859914779663086 MB, After: 0.46081066131591797 MB, Compression: 5.18%
IMG-20230213-WA0274.jpg, Time: 0.02s, Before: 0.3070230484008789 MB, After: 0.3070230484008789 MB, Compression: 0.00%
IMG-20230213-WA0275.jpg, Time: 0.03s, Before: 0.2872734069824219 MB, After: 0.2587118148803711 MB, Compression: 9.94%
IMG-20230213-WA0276.jpg, Time: 0.03s, Before: 0.49805259704589844 MB, After: 0.49805259704589844 MB, Compression: 0.00%
IMG-20230213-WA0277.jpg, Time: 0.02s, Before: 0.3282337188720703 MB, After: 0.29889678955078125 MB, Compression: 8.94%
IMG-20230213-WA0278.jpg, Time: 0.03s, Before: 0.32917213439941406 MB, After: 0.2966270446777344 MB, Compression: 9.89%
IMG-20230213-WA0279.jpg, Time: 0.03s, Before: 0.3485755920410156 MB, After: 0.32147216796875 MB, Compression: 7.78%
IMG-20230213-WA0280.jpg, Time: 0.03s, Before: 0.36263275146484375 MB, After: 0.3220396041870117 MB, Compression: 11.19%
IMG-20230213-WA0282.jpg, Time: 0.03s, Before: 0.32134246826171875 MB, After: 0.2862834930419922 MB, Compression: 10.91%
IMG-20230213-WA0283.jpg, Time: 0.03s, Before: 0.4507741928100586 MB, After: 0.41860389709472656 MB, Compression: 7.14%
IMG-20230213-WA0284.jpg, Time: 0.03s, Before: 0.3457965850830078 MB, After: 0.3134288787841797 MB, Compression: 9.36%
IMG-20230213-WA0285.jpg, Time: 0.01s, Before: 0.4097623825073242 MB, After: 0.40593910217285156 MB, Compression: 0.93%
IMG-20230213-WA0286.jpg, Time: 0.04s, Before: 0.37238121032714844 MB, After: 0.3403034210205078 MB, Compression: 8.61%
IMG-20230213-WA0287.jpg, Time: 0.03s, Before: 0.4148740768432617 MB, After: 0.4148740768432617 MB, Compression: 0.00%
IMG-20230213-WA0288.jpg, Time: 0.02s, Before: 0.3973112106323242 MB, After: 0.36254119873046875 MB, Compression: 8.75%
IMG-20230213-WA0289.jpg, Time: 0.03s, Before: 0.40394020080566406 MB, After: 0.3891258239746094 MB, Compression: 3.67%
IMG-20230213-WA0290.jpg, Time: 0.04s, Before: 0.5425300598144531 MB, After: 0.49971485137939453 MB, Compression: 7.89%
IMG-20230213-WA0291.jpg, Time: 0.02s, Before: 0.39684581756591797 MB, After: 0.3626737594604492 MB, Compression: 8.61%
IMG-20230213-WA0292.jpg, Time: 0.02s, Before: 0.3369417190551758 MB, After: 0.3369417190551758 MB, Compression: 0.00%
IMG-20230213-WA0293.jpg, Time: 0.03s, Before: 0.31769752502441406 MB, After: 0.31769752502441406 MB, Compression: 0.00%
IMG-20230213-WA0294.jpg, Time: 0.02s, Before: 0.3409080505371094 MB, After: 0.3409080505371094 MB, Compression: 0.00%
IMG-20230213-WA0295.jpg, Time: 0.03s, Before: 0.34429264068603516 MB, After: 0.34429264068603516 MB, Compression: 0.00%
